Hari,Tanggal,Waktu,Time to collision,Kategori SCE
Rabu,16 Agustus 2023,15:16:06,121.70149253731375,-
Rabu,16 Agustus 2023,15:16:07,nan,-
Rabu,16 Agustus 2023,15:16:08,nan,-
Rabu,16 Agustus 2023,15:16:09,nan,-
Rabu,16 Agustus 2023,15:16:10,nan,-
Rabu,16 Agustus 2023,15:16:11,nan,-
Rabu,16 Agustus 2023,15:16:12,nan,-
Rabu,16 Agustus 2023,15:16:13,nan,-
Rabu,16 Agustus 2023,15:16:14,nan,-
Rabu,16 Agustus 2023,15:16:15,nan,-
Rabu,16 Agustus 2023,15:16:16,nan,-
Rabu,16 Agustus 2023,15:16:17,nan,-
Rabu,16 Agustus 2023,15:16:18,nan,-
Rabu,16 Agustus 2023,15:16:19,nan,-
Rabu,16 Agustus 2023,15:16:20,nan,-
Rabu,16 Agustus 2023,15:16:21,nan,-
Rabu,16 Agustus 2023,15:16:22,nan,-
Rabu,16 Agustus 2023,15:16:23,nan,-
Rabu,16 Agustus 2023,15:16:24,nan,-
Rabu,16 Agustus 2023,15:16:25,nan,-
Rabu,16 Agustus 2023,15:16:26,nan,-
Rabu,16 Agustus 2023,15:16:27,nan,-
Rabu,16 Agustus 2023,15:16:28,7865.999999995977,-
Rabu,16 Agustus 2023,15:16:29,nan,-
Rabu,16 Agustus 2023,15:16:30,nan,-
Rabu,16 Agustus 2023,15:16:31,nan,-
Rabu,16 Agustus 2023,15:16:32,nan,-
Rabu,16 Agustus 2023,15:16:33,nan,-
Rabu,16 Agustus 2023,15:16:34,nan,-
Rabu,16 Agustus 2023,15:16:35,46.49230769230763,-
Rabu,16 Agustus 2023,15:16:36,nan,-
Rabu,16 Agustus 2023,15:16:37,nan,-
Rabu,16 Agustus 2023,15:16:38,nan,-
Rabu,16 Agustus 2023,15:16:39,nan,-
Rabu,16 Agustus 2023,15:16:40,nan,-
Rabu,16 Agustus 2023,15:16:41,nan,-
Rabu,16 Agustus 2023,15:16:42,nan,-
Rabu,16 Agustus 2023,15:16:43,nan,-
Rabu,16 Agustus 2023,15:16:44,nan,-
Rabu,16 Agustus 2023,15:16:45,nan,-
Rabu,16 Agustus 2023,15:16:46,nan,-
Rabu,16 Agustus 2023,15:16:47,nan,-
Rabu,16 Agustus 2023,15:16:48,nan,-
Rabu,16 Agustus 2023,15:16:49,nan,-
Rabu,16 Agustus 2023,15:16:50,nan,-
Rabu,16 Agustus 2023,15:16:51,nan,-
Rabu,16 Agustus 2023,15:16:52,nan,-
Rabu,16 Agustus 2023,15:16:53,nan,-
Rabu,16 Agustus 2023,15:16:54,nan,-
Rabu,16 Agustus 2023,15:16:55,3436.199999999463,-
Rabu,16 Agustus 2023,15:16:56,117.94666666666653,-
Rabu,16 Agustus 2023,15:16:57,nan,-
Rabu,16 Agustus 2023,15:16:58,nan,-
Rabu,16 Agustus 2023,15:16:59,165.4015748031492,-
Rabu,16 Agustus 2023,15:17:00,nan,-
Rabu,16 Agustus 2023,15:17:01,151.75182481751776,-
Rabu,16 Agustus 2023,15:17:02,nan,-
Rabu,16 Agustus 2023,15:17:03,nan,-
Rabu,16 Agustus 2023,15:17:04,nan,-
Rabu,16 Agustus 2023,15:17:05,nan,-
Rabu,16 Agustus 2023,15:17:06,nan,-
Rabu,16 Agustus 2023,15:17:07,nan,-
Rabu,16 Agustus 2023,15:17:08,nan,-
Rabu,16 Agustus 2023,15:17:09,nan,-
Rabu,16 Agustus 2023,15:17:10,nan,-
Rabu,16 Agustus 2023,15:17:11,nan,-
Rabu,16 Agustus 2023,15:17:12,nan,-
Rabu,16 Agustus 2023,15:17:13,nan,-
Rabu,16 Agustus 2023,15:17:14,nan,-
Rabu,16 Agustus 2023,15:17:15,nan,-
Rabu,16 Agustus 2023,15:17:16,nan,-
Rabu,16 Agustus 2023,15:17:17,nan,-
Rabu,16 Agustus 2023,15:17:18,nan,-
Rabu,16 Agustus 2023,15:17:19,nan,-
Rabu,16 Agustus 2023,15:17:20,nan,-
Rabu,16 Agustus 2023,15:17:21,nan,-
Rabu,16 Agustus 2023,15:17:22,nan,-
Rabu,16 Agustus 2023,15:17:23,nan,-
Rabu,16 Agustus 2023,15:17:24,nan,-
Rabu,16 Agustus 2023,15:17:25,nan,-
Rabu,16 Agustus 2023,15:17:26,nan,-
Rabu,16 Agustus 2023,15:17:27,nan,-
Rabu,16 Agustus 2023,15:17:28,nan,-
Rabu,16 Agustus 2023,15:17:29,nan,-
Rabu,16 Agustus 2023,15:17:30,nan,-
Rabu,16 Agustus 2023,15:17:31,nan,-
Rabu,16 Agustus 2023,15:17:32,nan,-
Rabu,16 Agustus 2023,15:17:33,nan,-
Rabu,16 Agustus 2023,15:17:34,nan,-
Rabu,16 Agustus 2023,15:17:35,nan,-
Rabu,16 Agustus 2023,15:17:36,nan,-
Rabu,16 Agustus 2023,15:17:37,nan,-
Rabu,16 Agustus 2023,15:17:38,nan,-
Rabu,16 Agustus 2023,15:17:39,nan,-
Rabu,16 Agustus 2023,15:17:40,nan,-
Rabu,16 Agustus 2023,15:17:41,nan,-
Rabu,16 Agustus 2023,15:17:42,nan,-
Rabu,16 Agustus 2023,15:17:43,nan,-
Rabu,16 Agustus 2023,15:17:44,635.1428571428868,-
Rabu,16 Agustus 2023,15:17:45,770.6769230769501,-
Rabu,16 Agustus 2023,15:17:46,859.2923076923379,-
Rabu,16 Agustus 2023,15:17:47,1204.9200000000685,-
Rabu,16 Agustus 2023,15:17:48,1432.0000000000587,-
Rabu,16 Agustus 2023,15:17:49,1944.514285714278,-
Rabu,16 Agustus 2023,15:17:50,1314.3272727272795,-
Rabu,16 Agustus 2023,15:17:51,2482.8000000002003,-
Rabu,16 Agustus 2023,15:17:52,3047.7600000001735,-
Rabu,16 Agustus 2023,15:17:53,5065.200000001008,-
Rabu,16 Agustus 2023,15:17:54,3794.4000000000806,-
Rabu,16 Agustus 2023,15:17:55,7633.800000001518,-
Rabu,16 Agustus 2023,15:17:56,5181.599999999804,-
Rabu,16 Agustus 2023,15:17:57,17773.199999990906,-
Rabu,16 Agustus 2023,15:17:58,nan,-
Rabu,16 Agustus 2023,15:17:59,nan,-
Rabu,16 Agustus 2023,15:18:00,nan,-
Rabu,16 Agustus 2023,15:18:01,nan,-
Rabu,16 Agustus 2023,15:18:02,nan,-
Rabu,16 Agustus 2023,15:18:03,nan,-
Rabu,16 Agustus 2023,15:18:04,nan,-
Rabu,16 Agustus 2023,15:18:05,nan,-
Rabu,16 Agustus 2023,15:18:06,nan,-
Rabu,16 Agustus 2023,15:18:07,nan,-
Rabu,16 Agustus 2023,15:18:08,nan,-
Rabu,16 Agustus 2023,15:18:09,nan,-
Rabu,16 Agustus 2023,15:18:10,nan,-
Rabu,16 Agustus 2023,15:18:11,nan,-
Rabu,16 Agustus 2023,15:18:12,nan,-
Rabu,16 Agustus 2023,15:18:13,nan,-
Rabu,16 Agustus 2023,15:18:14,nan,-
Rabu,16 Agustus 2023,15:18:15,nan,-
Rabu,16 Agustus 2023,15:18:16,nan,-
Rabu,16 Agustus 2023,15:18:17,nan,-
Rabu,16 Agustus 2023,15:18:18,nan,-
Rabu,16 Agustus 2023,15:18:19,nan,-
Rabu,16 Agustus 2023,15:18:20,nan,-
Rabu,16 Agustus 2023,15:18:21,nan,-
Rabu,16 Agustus 2023,15:18:22,nan,-
Rabu,16 Agustus 2023,15:18:23,nan,-
Rabu,16 Agustus 2023,15:18:24,nan,-
